2023-03-02T01:37:20.711135608+09:00 INFO flwr 2023-03-01 16:37:20,710 | app.py:139 | Starting Flower server, config: ServerConfig(num_rounds=20, round_timeout=None)
2023-03-02T01:37:20.724130837+09:00 INFO flwr 2023-03-01 16:37:20,723 | app.py:152 | Flower ECE: gRPC server running (20 rounds), SSL is disabled
2023-03-02T01:37:20.724235432+09:00 INFO flwr 2023-03-01 16:37:20,724 | server.py:87 | Initializing global parameters
2023-03-02T01:37:20.724337346+09:00 INFO flwr 2023-03-01 16:37:20,724 | server.py:298 | Requesting initial parameters from one random client
2023-03-02T01:37:28.333422437+09:00 INFO flwr 2023-03-01 16:37:28,333 | server.py:302 | Received initial parameters from one random client
2023-03-02T01:37:28.333565155+09:00 INFO flwr 2023-03-01 16:37:28,333 | server.py:89 | Evaluating initial parameters
2023-03-02T01:37:57.418474738+09:00 DEBUG flwr 2023-03-01 16:37:57,418 | server.py:243 | fit_round 1: strategy sampled 50 clients (out of 50)
2023-03-02T01:38:09.663277920+09:00 INFO flwr 2023-03-01 16:38:09,663 | server.py:396 | cid: ipv4:10.1.51.241:34182 - train + comm: 12.1986s - train: 12.1869s
2023-03-02T01:38:10.502990812+09:00 INFO flwr 2023-03-01 16:38:10,502 | server.py:396 | cid: ipv4:10.1.51.239:45176 - train + comm: 13.0382s - train: 13.0304s
2023-03-02T01:38:14.331801924+09:00 INFO flwr 2023-03-01 16:38:14,331 | server.py:396 | cid: ipv4:10.1.205.47:36958 - train + comm: 16.8667s - train: 16.8564s
2023-03-02T01:38:14.451277758+09:00 INFO flwr 2023-03-01 16:38:14,450 | server.py:396 | cid: ipv4:10.1.205.62:42102 - train + comm: 16.9864s - train: 16.9985s
2023-03-02T01:38:14.635810180+09:00 INFO flwr 2023-03-01 16:38:14,635 | server.py:396 | cid: ipv4:10.1.205.1:57490 - train + comm: 17.1709s - train: 17.1869s
2023-03-02T01:38:14.794730783+09:00 INFO flwr 2023-03-01 16:38:14,794 | server.py:396 | cid: ipv4:10.1.205.35:46530 - train + comm: 17.3300s - train: 17.3388s
2023-03-02T01:38:16.487861484+09:00 INFO flwr 2023-03-01 16:38:16,487 | server.py:396 | cid: ipv4:10.1.51.149:60428 - train + comm: 19.0232s - train: 19.0174s
2023-03-02T01:38:16.491109929+09:00 INFO flwr 2023-03-01 16:38:16,490 | server.py:396 | cid: ipv4:10.1.51.190:45250 - train + comm: 19.0264s - train: 19.0385s
2023-03-02T01:38:16.739581347+09:00 INFO flwr 2023-03-01 16:38:16,739 | server.py:396 | cid: ipv4:10.1.196.100:55374 - train + comm: 19.2748s - train: 19.2798s
2023-03-02T01:38:17.095749220+09:00 INFO flwr 2023-03-01 16:38:17,095 | server.py:396 | cid: ipv4:10.1.196.119:37544 - train + comm: 19.6310s - train: 19.6224s
2023-03-02T01:38:17.816820388+09:00 INFO flwr 2023-03-01 16:38:17,816 | server.py:396 | cid: ipv4:10.1.196.97:60012 - train + comm: 20.3521s - train: 20.3561s
2023-03-02T01:38:17.921147338+09:00 INFO flwr 2023-03-01 16:38:17,920 | server.py:396 | cid: ipv4:10.1.196.90:51618 - train + comm: 20.4563s - train: 20.4814s
2023-03-02T01:38:19.785311440+09:00 INFO flwr 2023-03-01 16:38:19,785 | server.py:396 | cid: ipv4:10.1.196.110:60332 - train + comm: 22.3205s - train: 22.3431s
2023-03-02T01:38:20.806663620+09:00 INFO flwr 2023-03-01 16:38:20,806 | server.py:396 | cid: ipv4:10.1.205.40:51312 - train + comm: 23.3418s - train: 23.3431s
2023-03-02T01:38:20.841765861+09:00 INFO flwr 2023-03-01 16:38:20,841 | server.py:396 | cid: ipv4:10.1.205.43:56106 - train + comm: 23.3770s - train: 23.3991s
2023-03-02T01:38:20.933702589+09:00 INFO flwr 2023-03-01 16:38:20,933 | server.py:396 | cid: ipv4:10.1.205.32:56450 - train + comm: 23.4688s - train: 23.4888s
2023-03-02T01:38:21.339484884+09:00 INFO flwr 2023-03-01 16:38:21,339 | server.py:396 | cid: ipv4:10.1.205.10:34352 - train + comm: 23.8747s - train: 23.8807s
2023-03-02T01:38:21.433093268+09:00 INFO flwr 2023-03-01 16:38:21,432 | server.py:396 | cid: ipv4:10.1.205.27:47688 - train + comm: 23.9683s - train: 23.9719s
2023-03-02T01:38:26.646360922+09:00 INFO flwr 2023-03-01 16:38:26,646 | server.py:396 | cid: ipv4:10.1.196.87:52382 - train + comm: 29.1815s - train: 29.1989s
2023-03-02T01:38:27.807178117+09:00 INFO flwr 2023-03-01 16:38:27,806 | server.py:396 | cid: ipv4:10.1.196.123:53106 - train + comm: 30.3423s - train: 30.3727s
2023-03-02T01:38:27.992320574+09:00 INFO flwr 2023-03-01 16:38:27,992 | server.py:396 | cid: ipv4:10.1.51.242:45550 - train + comm: 30.5275s - train: 30.5210s
2023-03-02T01:38:28.538190673+09:00 INFO flwr 2023-03-01 16:38:28,537 | server.py:396 | cid: ipv4:10.1.196.83:51552 - train + comm: 31.0734s - train: 31.0734s
2023-03-02T01:38:31.607063778+09:00 INFO flwr 2023-03-01 16:38:31,606 | server.py:396 | cid: ipv4:10.1.205.13:49850 - train + comm: 34.1422s - train: 15.1081s
2023-03-02T01:38:33.560935199+09:00 INFO flwr 2023-03-01 16:38:33,560 | server.py:396 | cid: ipv4:10.1.51.134:48256 - train + comm: 36.0960s - train: 12.2042s
2023-03-02T01:38:33.923926896+09:00 INFO flwr 2023-03-01 16:38:33,923 | server.py:396 | cid: ipv4:10.1.51.240:50926 - train + comm: 36.4589s - train: 16.8188s
2023-03-02T01:38:36.412262601+09:00 INFO flwr 2023-03-01 16:38:36,412 | server.py:396 | cid: ipv4:10.1.205.37:54878 - train + comm: 38.9474s - train: 21.6106s
2023-03-02T01:38:36.553374990+09:00 INFO flwr 2023-03-01 16:38:36,553 | server.py:396 | cid: ipv4:10.1.205.22:33908 - train + comm: 39.0886s - train: 39.0871s
2023-03-02T01:38:36.748662676+09:00 INFO flwr 2023-03-01 16:38:36,748 | server.py:396 | cid: ipv4:10.1.205.48:50530 - train + comm: 39.2838s - train: 39.3171s
2023-03-02T01:38:37.428695922+09:00 INFO flwr 2023-03-01 16:38:37,428 | server.py:396 | cid: ipv4:10.1.205.41:57588 - train + comm: 39.9638s - train: 39.9874s
2023-03-02T01:38:37.818089151+09:00 INFO flwr 2023-03-01 16:38:37,817 | server.py:396 | cid: ipv4:10.1.205.60:33862 - train + comm: 40.3531s - train: 40.3413s
2023-03-02T01:38:40.559644320+09:00 INFO flwr 2023-03-01 16:38:40,559 | server.py:396 | cid: ipv4:10.1.196.96:53862 - train + comm: 43.0949s - train: 30.0397s
